訂單編號,訂單日期,出貨日期,配送方式,客戶編號,城市,國家,產品名稱,產品類別,銷售數量,銷售金額,商品利潤
P00676,2018-06-29,2018-07-03,空運,C0002,Madrid,Spain,護貝機,辦公品,2,83,5
P00677,2018-06-29,2018-07-03,空運,C0006,Hamburg,Germany,延長線,辦公品,4,1799,87
P00678,2018-06-29,2018-07-03,空運,C0001,Brussels,Belgium,桌子,傢俱,7,273,33
P00679,2018-06-29,2018-07-03,航運,C0002,Munich,Germany,桌子,傢俱,1,79,11
P00680,2018-06-30,2018-07-04,快捷,C0007,Munich,Germany,冷氣機,家電,4,405,-32
P00681,2018-06-30,2018-07-04,空運,C0001,London,United Kingdom,櫃子,傢俱,2,43,-2
P00682,2018-06-30,2018-07-04,快捷,C0007,Bern,Switzerland,護貝機,辦公品,7,461,133
P00683,2018-06-30,2018-07-04,空運,C0001,Munich,Germany,麥片,食品,3,79,28
P00684,2018-06-30,2018-07-04,空運,C0004,Birmingham,United Kingdom,護貝機,辦公品,3,96,23
P00685,2018-06-30,2018-07-04,快捷,C0001,Birmingham,United Kingdom,桌子,傢俱,8,380,68
P00686,2018-06-30,2018-07-04,航運,C0004,Paris,France,吸塵器,家電,5,1283,629
P00687,2018-06-30,2018-07-02,航運,C0003,London,United Kingdom,冷氣機,家電,2,111,-1
P00688,2018-06-30,2018-07-02,航運,C0010,Birmingham,United Kingdom,櫃子,傢俱,2,87,14
P00689,2018-06-30,2018-07-02,航運,C0007,London,United Kingdom,沙發,傢俱,4,250,-24
P00690,2018-06-30,2018-07-02,快捷,C0007,Munich,Germany,速食麵,食品,3,167,-26
P00691,2018-07-01,2018-07-03,空運,C0003,Berlin,Germany,沙發,傢俱,2,533,-302
P00692,2018-07-01,2018-07-03,快捷,C0004,Lisbon,Portugal,打卡機,辦公品,4,68,-8
P00693,2018-07-01,2018-07-03,航運,C0003,Birmingham,United Kingdom,沙發,傢俱,3,137,23
P00694,2018-07-01,2018-07-05,空運,C0004,Munich,Germany,電腦椅,傢俱,2,567,17
P00695,2018-07-01,2018-07-05,空運,C0006,London,United Kingdom,櫃子,傢俱,4,176,-59
P00696,2018-07-01,2018-07-08,空運,C0005,Birmingham,United Kingdom,櫃子,傢俱,3,76,19
P00697,2018-07-02,2018-07-04,空運,C0010,Birmingham,United Kingdom,椅子,傢俱,6,1888,-162
P00698,2018-07-02,2018-07-04,空運,C0005,Birmingham,United Kingdom,電腦椅,傢俱,2,623,-62
P00699,2018-07-03,2018-07-08,空運,C0007,Madrid,Spain,沙發,傢俱,2,171,-40
P00700,2018-07-03,2018-07-08,快捷,C0003,London,United Kingdom,吸塵器,家電,8,32,-2
P00701,2018-07-05,2018-07-11,空運,C0001,Madrid,Spain,桌子,傢俱,6,249,36
P00702,2018-07-05,2018-07-08,空運,C0003,Lisbon,Portugal,桌子,傢俱,2,52,-24
P00703,2018-07-05,2018-07-08,航運,C0003,Hamburg,Germany,桌子,傢俱,7,45,-4
P00704,2018-07-05,2018-07-08,快捷,C0007,Hamburg,Germany,護貝機,辦公品,1,29,-9
P00705,2018-07-05,2018-07-08,航運,C0007,Vienna,Austria,桌子,傢俱,13,279,-142
P00706,2018-07-06,2018-07-11,航運,C0004,Berlin,Germany,沙發,傢俱,7,88,19
P00707,2018-07-06,2018-07-11,快捷,C0001,Birmingham,United Kingdom,櫃子,傢俱,3,415,105
P00708,2018-07-06,2018-07-10,航運,C0005,Berlin,Germany,麥片,食品,2,37,1
P00709,2018-07-06,2018-07-10,航運,C0001,Berlin,Germany,桌子,傢俱,5,57,7
P00710,2018-07-06,2018-07-10,空運,C0004,Birmingham,United Kingdom,延長線,辦公品,6,728,-254
P00711,2018-07-06,2018-07-10,空運,C0006,Bern,Switzerland,護貝機,辦公品,5,50,-4
P00712,2018-07-06,2018-07-10,航運,C0010,Bristol,United Kingdom,櫃子,傢俱,3,26,-22
P00713,2018-07-06,2018-07-10,快捷,C0008,Vienna,Austria,打卡機,辦公品,4,63,0
P00714,2018-07-07,2018-07-08,快捷,C0004,London,United Kingdom,椅子,傢俱,2,34,3
P00715,2018-07-07,2018-07-11,空運,C0007,Bern,Switzerland,櫃子,傢俱,2,19,10
P00716,2018-07-07,2018-07-11,空運,C0005,Madrid,Spain,護貝機,辦公品,2,91,20
P00717,2018-07-07,2018-07-11,航運,C0003,London,United Kingdom,護貝機,辦公品,7,353,159
P00718,2018-07-07,2018-07-11,空運,C0006,Rome,Italy,沙發,傢俱,2,180,-90
P00719,2018-07-07,2018-07-11,快捷,C0002,Madrid,Spain,延長線,辦公品,5,43,-11
P00720,2018-07-07,2018-07-11,空運,C0010,Hamburg,Germany,櫃子,傢俱,3,90,-2
P00721,2018-07-08,2018-07-14,航運,C0008,Vienna,Austria,椅子,傢俱,3,186,-59
P00722,2018-07-09,2018-07-14,航運,C0005,Rome,Italy,速食麵,食品,3,51,21
P00723,2018-07-09,2018-07-14,航運,C0006,Barcelona,Spain,速食麵,食品,7,1630,-283
P00724,2018-07-09,2018-07-14,航運,C0003,Birmingham,United Kingdom,桌子,傢俱,2,214,28
P00725,2018-07-12,2018-07-16,航運,C0007,Rome,Italy,冷氣機,家電,3,61,-26
P00726,2018-07-12,2018-07-16,快捷,C0001,Amsterdam,Netherlands,麥片,食品,6,590,24
P00727,2018-07-12,2018-07-16,空運,C0004,Liverpool,United Kingdom,桌子,傢俱,9,217,87
P00728,2018-07-12,2018-07-16,空運,C0001,Bern,Switzerland,延長線,辦公品,5,52,-6
P00729,2018-07-12,2018-07-16,空運,C0007,Berlin,Germany,護貝機,辦公品,8,601,-152
P00730,2018-07-12,2018-07-17,航運,C0006,Madrid,Spain,投影機,家電,1,54,14
P00731,2018-07-12,2018-07-17,快捷,C0005,Bern,Switzerland,桌子,傢俱,3,455,-152
P00732,2018-07-13,2018-07-20,航運,C0009,Berlin,Germany,延長線,辦公品,2,1058,338
P00733,2018-07-13,2018-07-17,航運,C0008,Berlin,Germany,電腦椅,傢俱,6,155,-62
P00734,2018-07-13,2018-07-17,航運,C0007,Madrid,Spain,打卡機,辦公品,6,190,-19
P00735,2018-07-13,2018-07-17,航運,C0005,London,United Kingdom,護貝機,辦公品,2,53,1
P00736,2018-07-16,2018-07-18,快捷,C0002,Munich,Germany,冷氣機,家電,4,151,-33
P00737,2018-07-17,2018-07-21,快捷,C0003,Rome,Italy,吸塵器,家電,3,266,58
P00738,2018-07-17,2018-07-21,空運,C0010,Barcelona,Spain,桌子,傢俱,4,51,0
P00739,2018-07-17,2018-07-21,航運,C0005,Lisbon,Portugal,椅子,傢俱,14,1729,484
P00740,2018-07-17,2018-07-21,航運,C0005,London,United Kingdom,桌子,傢俱,2,244,68
P00741,2018-07-18,2018-07-23,空運,C0009,Vienna,Austria,沙發,傢俱,2,167,5
P00742,2018-07-19,2018-07-23,航運,C0003,Barcelona,Spain,投影機,家電,3,34,1
P00743,2018-07-19,2018-07-24,航運,C0001,Liverpool,United Kingdom,櫃子,傢俱,5,224,67
P00744,2018-07-19,2018-07-24,空運,C0008,Bristol,United Kingdom,打卡機,辦公品,2,111,20
P00745,2018-07-20,2018-07-21,航運,C0001,Berlin,Germany,速食麵,食品,4,2556,664
P00746,2018-07-20,2018-07-21,航運,C0006,Birmingham,United Kingdom,護貝機,辦公品,9,981,216
P00747,2018-07-20,2018-07-24,航運,C0006,Berlin,Germany,護貝機,辦公品,2,109,-10
P00748,2018-07-21,2018-07-23,航運,C0002,London,United Kingdom,電腦椅,傢俱,1,37,13
P00749,2018-07-21,2018-07-23,航運,C0001,London,United Kingdom,護貝機,辦公品,2,262,102
P00750,2018-07-21,2018-07-23,航運,C0007,Birmingham,United Kingdom,護貝機,辦公品,4,176,-12
P00751,2018-07-21,2018-07-23,空運,C0003,Paris,France,吸塵器,家電,7,1536,-410
P00752,2018-07-21,2018-07-24,空運,C0002,Barcelona,Spain,櫃子,傢俱,3,148,68
P00753,2018-07-21,2018-07-24,航運,C0009,Berlin,Germany,延長線,辦公品,9,165,53
P00754,2018-07-21,2018-07-26,空運,C0009,Berlin,Germany,吸塵器,家電,5,24,-22
P00755,2018-07-21,2018-07-25,快捷,C0006,Berlin,Germany,延長線,辦公品,5,58,12
P00756,2018-07-21,2018-07-25,空運,C0004,Paris,France,桌子,傢俱,2,32,3
P00757,2018-07-22,2018-07-28,快捷,C0007,Birmingham,United Kingdom,沙發,傢俱,2,149,46
P00758,2018-07-24,2018-07-29,空運,C0005,Rome,Italy,冷氣機,家電,4,298,25
P00759,2018-07-24,2018-07-29,空運,C0002,Birmingham,United Kingdom,冷氣機,家電,2,14,1
P00760,2018-07-24,2018-07-29,航運,C0006,Birmingham,United Kingdom,麥片,食品,4,42,11
P00761,2018-07-24,2018-07-29,空運,C0003,Berlin,Germany,冷氣機,家電,4,243,56
P00762,2018-07-26,2018-07-31,航運,C0006,Bern,Switzerland,護貝機,辦公品,6,90,18
P00763,2018-07-26,2018-07-31,空運,C0005,Bern,Switzerland,延長線,辦公品,3,28,11
P00764,2018-07-26,2018-07-31,空運,C0001,Berlin,Germany,沙發,傢俱,5,1432,413
P00765,2018-07-26,2018-07-28,快捷,C0001,Berlin,Germany,打卡機,辦公品,5,49,2
P00766,2018-07-26,2018-07-30,快捷,C0007,London,United Kingdom,櫃子,傢俱,4,46,12
P00767,2018-07-26,2018-08-01,航運,C0005,Munich,Germany,速食麵,食品,3,1416,0
P00768,2018-07-27,2018-08-01,空運,C0001,Bern,Switzerland,沙發,傢俱,2,428,38
P00769,2018-07-28,2018-08-01,航運,C0009,Brussels,Belgium,護貝機,辦公品,3,824,97
P00770,2018-07-28,2018-08-01,空運,C0005,Vienna,Austria,投影機,家電,3,57,7
P00771,2018-07-28,2018-08-01,航運,C0001,Madrid,Spain,沙發,傢俱,2,121,-73
P00772,2018-07-28,2018-08-01,航運,C0003,Hamburg,Germany,護貝機,辦公品,2,72,8
P00773,2018-07-28,2018-08-01,快捷,C0005,Munich,Germany,護貝機,辦公品,4,267,-27
P00774,2018-07-28,2018-08-01,快捷,C0007,London,United Kingdom,桌子,傢俱,3,340,113
P00775,2018-07-28,2018-08-04,快捷,C0007,Lisbon,Portugal,護貝機,辦公品,1,360,79
P00776,2018-07-29,2018-07-31,空運,C0004,Madrid,Spain,打卡機,辦公品,1,43,11
P00777,2018-07-29,2018-07-31,快捷,C0007,Rome,Italy,桌子,傢俱,3,49,-5
P00778,2018-07-29,2018-07-31,航運,C0003,Hamburg,Germany,冷氣機,家電,2,44,-17
P00779,2018-07-29,2018-07-31,空運,C0002,London,United Kingdom,打卡機,辦公品,2,14,-3
P00780,2018-07-29,2018-08-02,航運,C0010,Liverpool,United Kingdom,沙發,傢俱,5,185,74
P00781,2018-07-29,2018-08-02,航運,C0007,Berlin,Germany,投影機,家電,2,273,46
P00782,2018-07-29,2018-08-03,航運,C0003,Barcelona,Spain,櫃子,傢俱,2,33,3
P00783,2018-07-30,2018-08-02,空運,C0008,Madrid,Spain,速食麵,食品,2,63,-36
P00784,2018-07-30,2018-08-03,快捷,C0002,London,United Kingdom,吸塵器,家電,5,183,-31
P00785,2018-07-30,2018-08-03,航運,C0007,Birmingham,United Kingdom,沙發,傢俱,3,217,-25
P00786,2018-07-30,2018-08-02,航運,C0005,Vienna,Austria,護貝機,辦公品,3,107,1
P00787,2018-07-31,2018-08-04,航運,C0005,London,United Kingdom,電腦椅,傢俱,2,512,68
P00788,2018-07-31,2018-08-04,航運,C0002,Birmingham,United Kingdom,櫃子,傢俱,1,3,0
P00789,2018-07-31,2018-08-04,空運,C0007,Vienna,Austria,延長線,辦公品,3,1340,371
P00790,2018-07-31,2018-08-03,快捷,C0010,London,United Kingdom,吸塵器,家電,6,619,-223
P00791,2018-07-31,2018-08-03,航運,C0008,Vienna,Austria,椅子,傢俱,3,19,-1
P00792,2018-07-31,2018-08-03,快捷,C0007,Madrid,Spain,投影機,家電,3,22,-19
P00793,2018-07-31,2018-08-05,空運,C0002,Birmingham,United Kingdom,延長線,辦公品,9,178,76
P00794,2018-08-01,2018-08-04,航運,C0005,Paris,France,延長線,辦公品,2,83,-2
P00795,2018-08-01,2018-08-04,空運,C0003,Birmingham,United Kingdom,沙發,傢俱,3,72,-26
P00796,2018-08-02,2018-08-03,快捷,C0007,Bristol,United Kingdom,電腦椅,傢俱,6,1158,255
P00797,2018-08-02,2018-08-03,航運,C0005,Birmingham,United Kingdom,延長線,辦公品,3,52,12
P00798,2018-08-02,2018-08-03,空運,C0009,Paris,France,桌子,傢俱,3,517,165
P00799,2018-08-02,2018-08-07,空運,C0007,Birmingham,United Kingdom,冷氣機,家電,4,103,2
P00800,2018-08-02,2018-08-07,航運,C0009,Hamburg,Germany,護貝機,辦公品,1,253,-35
P00801,2018-08-02,2018-08-07,快捷,C0007,Bern,Switzerland,桌子,傢俱,3,25,-19
P00802,2018-08-03,2018-08-08,空運,C0008,London,United Kingdom,電腦椅,傢俱,3,115,14
P00803,2018-08-03,2018-08-08,空運,C0007,Berlin,Germany,桌子,傢俱,2,911,282
P00804,2018-08-03,2018-08-04,航運,C0006,Vienna,Austria,沙發,傢俱,2,90,39
P00805,2018-08-03,2018-08-09,航運,C0006,Bern,Switzerland,打卡機,辦公品,5,116,-66
P00806,2018-08-03,2018-08-09,空運,C0004,Bern,Switzerland,桌子,傢俱,2,263,-67
P00807,2018-08-03,2018-08-08,航運,C0007,Bristol,United Kingdom,護貝機,辦公品,2,34,11
P00808,2018-08-03,2018-08-07,空運,C0008,Birmingham,United Kingdom,沙發,傢俱,2,143,10
P00809,2018-08-04,2018-08-08,空運,C0001,Munich,Germany,桌子,傢俱,4,161,-26
P00810,2018-08-04,2018-08-08,航運,C0007,Hamburg,Germany,護貝機,辦公品,9,2605,-554
P00811,2018-08-04,2018-08-08,空運,C0007,Vienna,Austria,投影機,家電,3,330,-12
P00812,2018-08-04,2018-08-08,空運,C0007,Berlin,Germany,沙發,傢俱,3,713,128
P00813,2018-08-04,2018-08-08,航運,C0010,Paris,France,吸塵器,家電,3,509,5
P00814,2018-08-04,2018-08-09,空運,C0002,Paris,France,桌子,傢俱,3,70,19
P00815,2018-08-04,2018-08-09,空運,C0007,Lisbon,Portugal,電腦椅,傢俱,9,80,25
P00816,2018-08-04,2018-08-09,空運,C0003,Lisbon,Portugal,電腦椅,傢俱,2,23,9
P00817,2018-08-04,2018-08-09,航運,C0006,Paris,France,沙發,傢俱,6,299,27
P00818,2018-08-04,2018-08-08,快捷,C0001,Madrid,Spain,櫃子,傢俱,2,136,18
P00819,2018-08-04,2018-08-07,航運,C0003,Hamburg,Germany,櫃子,傢俱,5,841,319
P00820,2018-08-04,2018-08-07,航運,C0008,Berlin,Germany,投影機,家電,3,42,14
P00821,2018-08-04,2018-08-07,航運,C0003,London,United Kingdom,桌子,傢俱,3,51,4
P00822,2018-08-05,2018-08-11,航運,C0008,Bristol,United Kingdom,櫃子,傢俱,4,25,2
P00823,2018-08-05,2018-08-10,快捷,C0007,Bristol,United Kingdom,桌子,傢俱,1,124,-3
P00824,2018-08-05,2018-08-10,快捷,C0006,Bristol,United Kingdom,椅子,傢俱,5,110,6
P00825,2018-08-05,2018-08-10,航運,C0001,Liverpool,United Kingdom,麥片,食品,4,141,31
P00826,2018-08-05,2018-08-09,快捷,C0010,Paris,France,打卡機,辦公品,5,351,144
P00827,2018-08-05,2018-08-09,空運,C0008,London,United Kingdom,椅子,傢俱,4,1455,116
P00828,2018-08-05,2018-08-09,空運,C0001,London,United Kingdom,桌子,傢俱,4,963,154
P00829,2018-08-05,2018-08-08,空運,C0009,Madrid,Spain,延長線,辦公品,7,102,33
P00830,2018-08-06,2018-08-12,航運,C0004,Berlin,Germany,沙發,傢俱,5,60,-53
P00831,2018-08-06,2018-08-12,航運,C0007,Liverpool,United Kingdom,電腦椅,傢俱,8,59,8
P00832,2018-08-06,2018-08-12,航運,C0005,Bristol,United Kingdom,沙發,傢俱,2,27,-6
P00833,2018-08-06,2018-08-08,空運,C0002,Vienna,Austria,椅子,傢俱,2,91,25
P00834,2018-08-07,2018-08-11,空運,C0004,London,United Kingdom,投影機,家電,1,12,-1
P00835,2018-08-09,2018-08-13,航運,C0007,Paris,France,桌子,傢俱,7,143,60
P00836,2018-08-09,2018-08-13,快捷,C0003,Berlin,Germany,沙發,傢俱,2,365,22
P00837,2018-08-09,2018-08-09,空運,C0004,Lisbon,Portugal,延長線,辦公品,3,150,51
P00838,2018-08-09,2018-08-09,快捷,C0007,Madrid,Spain,電腦椅,傢俱,2,285,3
P00839,2018-08-09,2018-08-09,空運,C0004,Munich,Germany,延長線,辦公品,7,61,8
P00840,2018-08-09,2018-08-09,航運,C0004,Hamburg,Germany,櫃子,傢俱,4,1274,573
P00841,2018-08-09,2018-08-09,空運,C0003,London,United Kingdom,護貝機,辦公品,2,13,5
P00842,2018-08-09,2018-08-13,航運,C0004,Paris,France,沙發,傢俱,4,28,3
P00843,2018-08-10,2018-08-13,航運,C0007,Rome,Italy,護貝機,辦公品,2,23,9
P00844,2018-08-10,2018-08-14,空運,C0001,Lisbon,Portugal,延長線,辦公品,4,334,57
P00845,2018-08-10,2018-08-12,航運,C0008,Vienna,Austria,櫃子,傢俱,4,956,468
P00846,2018-08-11,2018-08-18,航運,C0007,Madrid,Spain,椅子,傢俱,3,51,16
P00847,2018-08-11,2018-08-18,空運,C0007,Rome,Italy,麥片,食品,3,39,2
P00848,2018-08-11,2018-08-17,航運,C0010,Lisbon,Portugal,速食麵,食品,2,513,251
P00849,2018-08-12,2018-08-19,空運,C0010,Barcelona,Spain,延長線,辦公品,1,9,3
P00850,2018-08-12,2018-08-19,快捷,C0002,Madrid,Spain,延長線,辦公品,5,57,28
P00851,2018-08-12,2018-08-14,航運,C0008,Lisbon,Portugal,沙發,傢俱,1,15,3
P00852,2018-08-12,2018-08-14,空運,C0002,Birmingham,United Kingdom,延長線,辦公品,2,757,303
P00853,2018-08-12,2018-08-14,航運,C0002,Bern,Switzerland,延長線,辦公品,2,95,31
P00854,2018-08-12,2018-08-14,航運,C0001,London,United Kingdom,護貝機,辦公品,7,360,97
P00855,2018-08-12,2018-08-17,航運,C0007,Lisbon,Portugal,電腦椅,傢俱,3,157,39
P00856,2018-08-12,2018-08-17,航運,C0001,Hamburg,Germany,冷氣機,家電,2,139,15
P00857,2018-08-12,2018-08-15,空運,C0007,Hamburg,Germany,速食麵,食品,4,478,-32
P00858,2018-08-12,2018-08-14,航運,C0005,Bern,Switzerland,櫃子,傢俱,4,68,23
P00859,2018-08-13,2018-08-17,空運,C0007,Bern,Switzerland,椅子,傢俱,3,128,60
P00860,2018-08-13,2018-08-17,航運,C0007,Lisbon,Portugal,護貝機,辦公品,1,327,-7
P00861,2018-08-13,2018-08-17,航運,C0007,Munich,Germany,椅子,傢俱,2,24,2
P00862,2018-08-13,2018-08-19,航運,C0008,Berlin,Germany,冷氣機,家電,2,227,-16
P00863,2018-08-13,2018-08-19,空運,C0001,Paris,France,護貝機,辦公品,6,1068,92
P00864,2018-08-13,2018-08-19,航運,C0003,London,United Kingdom,桌子,傢俱,4,298,25
P00865,2018-08-13,2018-08-19,空運,C0007,Madrid,Spain,冷氣機,家電,3,69,-39
P00866,2018-08-13,2018-08-15,航運,C0003,Bern,Switzerland,桌子,傢俱,2,101,14
P00867,2018-08-13,2018-08-15,航運,C0002,Munich,Germany,護貝機,辦公品,6,252,73
P00868,2018-08-13,2018-08-17,航運,C0005,Madrid,Spain,延長線,辦公品,2,135,53
P00869,2018-08-13,2018-08-16,航運,C0007,Paris,France,冷氣機,家電,7,1161,-148
P00870,2018-08-14,2018-08-19,快捷,C0007,Barcelona,Spain,桌子,傢俱,7,79,38
P00871,2018-08-14,2018-08-19,空運,C0003,Birmingham,United Kingdom,延長線,辦公品,3,165,66
P00872,2018-08-14,2018-08-19,航運,C0007,London,United Kingdom,投影機,家電,5,265,108
P00873,2018-08-14,2018-08-19,空運,C0004,Bern,Switzerland,桌子,傢俱,3,1038,-312
P00874,2018-08-14,2018-08-18,航運,C0007,Berlin,Germany,桌子,傢俱,8,769,-21
P00875,2018-08-16,2018-08-23,快捷,C0003,London,United Kingdom,延長線,辦公品,5,396,190
P00876,2018-08-16,2018-08-23,航運,C0001,Madrid,Spain,護貝機,辦公品,7,192,57
P00877,2018-08-16,2018-08-23,快捷,C0006,Munich,Germany,護貝機,辦公品,6,392,161
P00878,2018-08-16,2018-08-18,航運,C0005,Birmingham,United Kingdom,電腦椅,傢俱,3,466,100
P00879,2018-08-16,2018-08-18,航運,C0001,Hamburg,Germany,護貝機,辦公品,4,33,-9
P00880,2018-08-16,2018-08-18,快捷,C0001,Bristol,United Kingdom,櫃子,傢俱,3,453,146
P00881,2018-08-17,2018-08-21,航運,C0002,Paris,France,護貝機,辦公品,2,98,49
P00882,2018-08-17,2018-08-21,空運,C0005,Berlin,Germany,延長線,辦公品,9,3274,262
P00883,2018-08-17,2018-08-21,航運,C0004,Barcelona,Spain,沙發,傢俱,1,180,5
P00884,2018-08-17,2018-08-22,空運,C0002,Berlin,Germany,椅子,傢俱,7,32,-8
P00885,2018-08-17,2018-08-21,航運,C0007,Hamburg,Germany,投影機,家電,1,69,26
P00886,2018-08-18,2018-08-24,空運,C0002,Lisbon,Portugal,沙發,傢俱,3,107,10
P00887,2018-08-18,2018-08-24,空運,C0005,Munich,Germany,速食麵,食品,3,139,26
P00888,2018-08-18,2018-08-24,航運,C0007,Berlin,Germany,電腦椅,傢俱,2,37,-1
P00889,2018-08-18,2018-08-24,快捷,C0003,Liverpool,United Kingdom,沙發,傢俱,1,288,29
P00890,2018-08-18,2018-08-20,空運,C0008,Munich,Germany,護貝機,辦公品,4,83,8
P00891,2018-08-18,2018-08-18,航運,C0003,Bern,Switzerland,桌子,傢俱,5,189,21
P00892,2018-08-18,2018-08-18,航運,C0002,Lisbon,Portugal,打卡機,辦公品,5,756,243
P00893,2018-08-18,2018-08-18,快捷,C0005,Rome,Italy,速食麵,食品,6,40,-22
P00894,2018-08-18,2018-08-18,空運,C0007,Paris,France,投影機,家電,2,37,-34
P00895,2018-08-19,2018-08-24,快捷,C0001,London,United Kingdom,護貝機,辦公品,8,346,7
P00896,2018-08-19,2018-08-23,快捷,C0003,Liverpool,United Kingdom,護貝機,辦公品,5,605,266
P00897,2018-08-19,2018-08-23,航運,C0005,Bristol,United Kingdom,櫃子,傢俱,2,162,74
P00898,2018-08-19,2018-08-23,空運,C0009,Berlin,Germany,速食麵,食品,2,262,73
P00899,2018-08-19,2018-08-23,航運,C0007,Berlin,Germany,電腦椅,傢俱,4,524,147
P00900,2018-08-19,2018-08-23,空運,C0005,Madrid,Spain,延長線,辦公品,2,21,1
P00901,2018-08-19,2018-08-23,空運,C0001,Vienna,Austria,延長線,辦公品,5,94,-1
P00902,2018-08-19,2018-08-23,空運,C0005,Berlin,Germany,延長線,辦公品,3,924,397
P00903,2018-08-19,2018-08-23,空運,C0004,Munich,Germany,沙發,傢俱,4,70,13
P00904,2018-08-19,2018-08-20,航運,C0007,Bern,Switzerland,護貝機,辦公品,4,499,-233
P00905,2018-08-19,2018-08-20,空運,C0002,Amsterdam,Netherlands,投影機,家電,4,61,-9
P00906,2018-08-19,2018-08-24,航運,C0005,Bern,Switzerland,麥片,食品,2,100,45
P00907,2018-08-20,2018-08-24,空運,C0007,London,United Kingdom,麥片,食品,7,243,63
P00908,2018-08-20,2018-08-24,快捷,C0010,Amsterdam,Netherlands,櫃子,傢俱,5,2337,1098
P00909,2018-08-20,2018-08-24,快捷,C0003,Madrid,Spain,冷氣機,家電,5,1938,136
P00910,2018-08-20,2018-08-24,航運,C0008,Paris,France,沙發,傢俱,5,77,0
P00911,2018-08-20,2018-08-24,航運,C0006,Amsterdam,Netherlands,延長線,辦公品,1,176,0
P00912,2018-08-20,2018-08-24,航運,C0009,Birmingham,United Kingdom,桌子,傢俱,4,1836,239
P00913,2018-08-20,2018-08-24,快捷,C0003,Hamburg,Germany,沙發,傢俱,5,147,63
P00914,2018-08-20,2018-08-24,快捷,C0007,London,United Kingdom,桌子,傢俱,2,52,22
P00915,2018-08-20,2018-08-24,航運,C0008,Hamburg,Germany,椅子,傢俱,1,494,217
P00916,2018-08-20,2018-08-20,空運,C0009,Paris,France,護貝機,辦公品,5,359,12
P00917,2018-08-20,2018-08-22,快捷,C0003,Paris,France,速食麵,食品,4,52,-37
P00918,2018-08-21,2018-08-24,空運,C0002,London,United Kingdom,沙發,傢俱,3,145,7
P00919,2018-08-21,2018-08-25,空運,C0001,London,United Kingdom,沙發,傢俱,8,140,4
P00920,2018-08-21,2018-08-25,航運,C0007,Amsterdam,Netherlands,沙發,傢俱,2,730,124
P00921,2018-08-22,2018-08-27,航運,C0001,Madrid,Spain,護貝機,辦公品,1,112,16
P00922,2018-08-22,2018-08-27,快捷,C0002,Berlin,Germany,護貝機,辦公品,4,210,58
P00923,2018-08-23,2018-08-30,空運,C0009,Birmingham,United Kingdom,護貝機,辦公品,3,255,41
P00924,2018-08-23,2018-08-28,航運,C0007,Madrid,Spain,延長線,辦公品,3,54,-1
P00925,2018-08-23,2018-08-29,航運,C0007,Birmingham,United Kingdom,桌子,傢俱,3,80,39
P00926,2018-08-23,2018-08-29,空運,C0006,Madrid,Spain,投影機,家電,3,1928,77
P00927,2018-08-23,2018-08-25,航運,C0004,Madrid,Spain,桌子,傢俱,2,12,5
P00928,2018-08-24,2018-08-28,快捷,C0001,London,United Kingdom,護貝機,辦公品,4,48,17
P00929,2018-08-24,2018-08-30,航運,C0004,Lisbon,Portugal,延長線,辦公品,1,11,0
P00930,2018-08-24,2018-08-30,航運,C0006,Paris,France,速食麵,食品,3,254,93
P00931,2018-08-24,2018-08-30,空運,C0007,Birmingham,United Kingdom,吸塵器,家電,1,105,13
P00932,2018-08-24,2018-08-30,空運,C0006,Bristol,United Kingdom,延長線,辦公品,3,143,11
P00933,2018-08-24,2018-08-29,快捷,C0002,Rome,Italy,延長線,辦公品,2,63,4
P00934,2018-08-24,2018-08-29,快捷,C0007,Birmingham,United Kingdom,打卡機,辦公品,9,811,-36
P00935,2018-08-25,2018-08-28,航運,C0008,Rome,Italy,沙發,傢俱,4,61,-7
P00936,2018-08-26,2018-08-30,航運,C0002,Berlin,Germany,冷氣機,家電,6,646,78
P00937,2018-08-26,2018-08-31,航運,C0007,Vienna,Austria,椅子,傢俱,7,128,-5
P00938,2018-08-26,2018-08-31,航運,C0005,Madrid,Spain,護貝機,辦公品,6,144,-71
P00939,2018-08-26,2018-08-31,空運,C0007,Lisbon,Portugal,延長線,辦公品,3,429,86
P00940,2018-08-26,2018-09-01,航運,C0007,Berlin,Germany,桌子,傢俱,5,821,219
P00941,2018-08-26,2018-09-01,快捷,C0005,London,United Kingdom,速食麵,食品,5,1342,-45
P00942,2018-08-26,2018-09-01,空運,C0004,London,United Kingdom,延長線,辦公品,3,115,11
P00943,2018-08-26,2018-09-01,航運,C0009,Hamburg,Germany,電腦椅,傢俱,3,330,59
P00944,2018-08-26,2018-08-28,快捷,C0010,Barcelona,Spain,桌子,傢俱,5,424,85
P00945,2018-08-26,2018-08-28,航運,C0006,Paris,France,投影機,家電,3,122,17
P00946,2018-08-26,2018-08-28,空運,C0009,Berlin,Germany,桌子,傢俱,4,34,13
P00947,2018-08-26,2018-08-28,快捷,C0005,London,United Kingdom,護貝機,辦公品,3,150,29
P00948,2018-08-26,2018-09-01,空運,C0002,Hamburg,Germany,桌子,傢俱,2,46,-13
P00949,2018-08-26,2018-09-01,空運,C0007,Amsterdam,Netherlands,櫃子,傢俱,6,45,-11
P00950,2018-08-26,2018-09-01,航運,C0005,Barcelona,Spain,速食麵,食品,2,65,-14
P00951,2018-08-27,2018-08-31,空運,C0007,Munich,Germany,椅子,傢俱,1,10,4
